YrCaught,YrTagged,Length,Weight,Site,AgeP
9,9,106,13.8,Site 3,1
9,9,70,3.5,Site 3,0
9,9,65,3,Site 3,0
9,9,69,3.7,Site 3,0
9,9,70,3.7,Site 3,0
9,9,69,3.5,Site 3,0
9,9,66,3.1,Site 3,0
9,9,74,4.2,Site 3,0
9,9,117,18.3,Site 3,1
9,9,93,8.7,Site 3,0
9,9,112,16.5,Site 3,1
9,9,68,3.5,Site 3,0
9,9,65,2.9,Site 3,0
9,9,70,3.8,Site 3,0
9,9,66,3.2,Site 3,0
9,9,76,4.5,Site 3,0
9,9,65,2.7,Site 3,0
9,9,66,3,Site 3,0
9,9,126,23.6,Site 3,1
9,9,118,16.9,Site 3,1
9,9,107,13.6,Site 3,1
9,9,96,9.6,Site 3,0
9,9,73,3.9,Site 3,0
9,9,70,4,Site 3,0
9,9,121,21.7,Site 3,1
9,8,139,28.1,Site 3,2
9,9,117,16,Site 3,1
9,9,104,11.5,Site 3,1
9,9,66,2.9,Site 3,0
9,9,66,3,Site 3,0
9,9,106,14.4,Site 3,1
9,9,70,3.7,Site 3,0
9,9,148,38.4,Site 3,2
9,9,105,12.2,Site 3,1
9,9,71,3.7,Site 3,0
9,9,96,9.7,Site 3,0
9,9,87,7.7,Site 3,0
